id,apple,samsung,amazon,others,model,screensize,storage,isnight,returnsaccepted,returnsdays,sellerfeedbackscore,bids,price,ram,resolution,selleritemssold,ispolice,sellerlifepercent,selleryearpercent,isused,isbroken,deliveryspeed,startingprice,issold,bidcount,ruletriggered,nobid,residual
115574616316,1,0,0,0,ipad pro 4,12.9,256,0,0,-1,252,.040756799,1.915905,-1,2732x2048,51,0,100,100,1,0,2,.040723257,1,17,1,17,-1.6455663
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,3.0903695,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,1,1.7256989
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,3.0484917,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,2,1.6838212
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,3.006614,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,3,1.6419435
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,2.8809807,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,4,1.5163102
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,2.294692,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,5,.93002152
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,2.0853033,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,6,.72063279
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,2.0015476,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,7,.63687706
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,1.9596699,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,8,.59499943
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,1.8759143,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,9,.51124382
115580680838,0,1,0,0,galaxy tab s4,10.5,64,1,0,-1,775,1.8549755,3.0903695,4,2560x1600,71,0,100,100,1,0,0,1.7502811,1,10,1,10,.49030495
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.829152,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,1,.37593484
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.7719731,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,2,.31875598
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.7147943,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,3,.26157713
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.6004366,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,4,.14721942
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.5432577,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,5,.090040565
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.4860789,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,6,.03286171
