id,apple,samsung,amazon,others,model,screenSize,storage,isNight,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold,endTime,bidCount
275708142223,1,0,0,0,ipad pro 4,11.0,512,1,0,-1,194.0,"[1700.0, 1700.0, 700.0, 680.21, 550.0]",1700.0,,,97,0,95.0,90.0,0,0,2.0,467.0,1,2023-02-25 00:57:17+00:00,5
295479436033,1,0,0,0,ipad pro 6,12.9,256,1,0,-1,46.0,"[952.5, 932.5, 881.5, 837.5, 812.5]",952.5,,,104,0,100.0,100.0,0,0,1.0,812.5,1,2023-01-21 19:50:52+00:00,5
225401317018,1,0,0,0,ipad pro 3,12.9,256,1,0,-1,181.0,"[518.55, 508.55, 457.99, 447.99, 417.99, 360.99, 350.99, 330.99, 310.99, 255.99, 255.99, 227.99, 175.99, 137.99]",518.55,,,191,0,100.0,100.0,1,0,2.0,55.99,1,2023-02-12 19:47:12+00:00,14
285098232279,1,0,0,0,ipad pro 4,11.0,512,0,0,-1,488.0,"[964.99, 944.99, 899.99, 809.99]",964.99,,,228,0,100.0,100.0,0,0,1.0,809.99,1,2023-01-05 16:26:21+00:00,4
225436273575,1,0,0,0,ipad pro 6,12.9,2048,1,0,-1,1236.0,"[1750.0, 1700.0, 1550.0, 1440.0, 1420.0, 1400.0, 1350.0, 1300.0, 1200.0, 1120.0, 940.0, 860.0, 840.0]",1750.0,,,289,0,100.0,100.0,0,0,,400.0,1,2023-02-27 19:29:19+00:00,13
285109925897,1,0,0,0,ipad pro 1,11.0,1024,0,0,-1,678.0,"[370.0, 368.93, 303.93, 213.93, 198.93]",370.0,,,65,0,100.0,100.0,1,0,2.0,193.93,1,2023-01-22 07:45:25+00:00,5
185775855492,1,0,0,0,ipad pro 4,11.0,128,1,0,-1,391.0,"[670.0, 660.0, 560.0, 510.0]",670.0,,,242,0,100.0,99.0,0,0,2.0,510.0,1,2023-02-20 19:25:41+00:00,4
195533009561,1,0,0,0,ipad pro 1,11.0,256,0,0,-1,156.0,"[425.45, 415.45, 365.45]",425.45,,,114,0,100.0,100.0,0,0,2.0,315.45,1,2022-12-31 09:53:33+00:00,3
255978193361,1,0,0,0,ipad air 4,10.9,64,1,0,-1,633.0,"[396.84, 392.85, 369.85, 359.85, 319.85, 309.85, 209.85]",396.84,,,86,0,100.0,100.0,1,0,1.0,209.85,1,2023-02-20 22:44:23+00:00,7
175628399559,1,0,0,0,ipad 9,10.1,64,0,0,-1,123.0,"[255.32, 250.32, 239.32, 224.29, 210.32, 205.32, 171.32, 161.32]",255.32,,,337,0,100.0,100.0,1,0,2.0,161.32,1,2023-03-02 10:07:30+00:00,8
364113091370,1,0,0,0,ipad air 4,10.9,64,0,0,-1,186.0,"[324.45, 314.45]",324.45,,,34,0,100.0,100.0,1,0,0.0,289.45,1,2023-01-21 15:15:39+00:00,2
285143234727,1,0,0,0,ipad air 4,10.9,64,1,0,-1,128.0,"[362.0, 352.0, 332.0, 302.0, 297.0, 227.0, 212.0, 112.0]",362.0,,,245,0,100.0,99.0,1,0,2.0,112.0,1,2023-02-14 22:11:56+00:00,8
175612862300,1,0,0,0,ipad air 4,10.9,256,1,0,-1,606.0,"[211.59, 206.59, 204.93, 199.03, 169.75, 160.93, 158.93, 133.93, 123.93, 115.04, 111.82, 99.93, 85.93, 51.93, 43.93]",211.59,,,273,0,100.0,100.0,1,0,2.0,13.93,1,2023-02-20 18:15:54+00:00,15
285064810711,1,0,0,0,ipad air 4,10.9,64,1,0,-1,128.0,"[319.95, 309.95, 238.95, 228.95, 208.95, 174.95, 164.5, 19.95, 10.95]",319.95,,,245,0,100.0,99.0,1,0,2.0,9.95,1,2022-12-08 22:36:14+00:00,9
404028545935,1,0,0,0,ipad air 5,10.9,64,1,0,-1,221.0,"[473.99, 463.99, 441.99, 421.99, 391.99, 381.99, 361.99, 311.99, 301.99, 291.66, 271.99, 236.99, 211.99, 61.99, 61.99, 13.99]",473.99,,,173,0,100.0,100.0,1,0,2.0,12.99,1,2022-12-08 21:50:01+00:00,16
325545875339,1,0,0,0,ipad air 4,10.9,64,0,1,14,472.0,"[370.0, 360.0, 348.95, 338.95, 328.94, 288.95, 278.95]",370.0,,,295,0,100.0,100.0,1,0,2.0,258.95,1,2023-02-25 16:49:50+00:00,7
204212204614,1,0,0,0,ipad air 4,10.9,64,0,1,14,13186.503393365118,"[291.99, 286.99, 271.99, 240.99, 225.49]",291.99,,,35000,0,99.8,99.0,1,0,1.0,220.49,1,2023-01-16 11:07:33+00:00,5
275711214134,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,113.0,"[900.0, 880.0, 840.0, 705.0, 700.0, 555.0, 530.0, 495.0, 485.0, 480.0, 443.0, 333.0]",900.0,,,69,0,100.0,100.0,1,0,2.0,333.0,1,2023-03-02 20:33:01+00:00,12
165927485980,1,0,0,0,ipad pro 4,12.9,256,0,0,-1,59.0,"[740.0, 720.0, 700.0, 600.0, 566.0, 416.0, 406.0]",740.0,,,26,0,100.0,100.0,1,0,0.0,396.0,1,2023-02-14 16:29:52+00:00,7
175593011742,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,125.0,"[577.55, 567.55, 556.55, 525.55, 505.55, 405.55, 365.55]",577.55,,,13,0,100.0,100.0,1,0,1.0,355.55,1,2023-02-06 17:46:33+00:00,7
