id,brand,model,screenSize,storage,postage,endTime,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold
134260721464,samsung,galaxy tab s2 t813,9.7,32,5.55,"09 Oct, 2022 17:51:47 BST",0,-1,78,[50.0],50.0,-1.0,2048x1536,4,0,100.0,100.0,1,0,1,50.0,1
334599750710,samsung,galaxy tab s2 t810,9.7,32,9.50,"27 Oct, 2022 16:13:43 BST",1,30,-1,[14.99],14.99,-1.0,-1,426000,0,100.0,99.0,1,1,2,14.99,1
285083465992,samsung,galaxy tab a t580,10.1,16,4.99,"22 Dec, 2022 12:47:12 GMT",1,14,4816,"[36.0, 35.0, 34.0]",36.0,-1.0,-1,2600,0,100.0,100.0,1,0,0,15.0,1
195522040061,samsung,galaxy tab a6 t585,10.1,16,0,"29 Dec, 2022 20:31:01 GMT",0,-1,52,"[77.0, 75.0, 53.0, 34.0, 32.0, 26.0, 20.82, 20.0]",77.0,2.0,1920x1200,102,0,100.0,100.0,1,0,1,15.0,1
195522034634,samsung,galaxy tab a6 t585,10.1,16,0,"27 Dec, 2022 20:31:01 GMT",0,-1,52,"[56.0, 55.0, 41.0, 39.0, 38.75, 33.0, 31.0, 22.0, 21.0, 20.0, 19.0, 17.0, 15.0]",56.0,2.0,1920x1200,102,0,100.0,100.0,1,0,1,15.0,1
204164568959,samsung,galaxy tab a t550,9.75,16,7.99,"01 Dec, 2022 09:49:00 GMT",1,14,-1,[20.0],20.0,-1.0,-1,35000,0,99.4,99.0,1,0,1,20.0,1
185703052936,samsung,galaxy tab a t580,10.1,16,9.99,"28 Dec, 2022 11:40:29 GMT",0,-1,203,"[54.51, 53.51, 50.0, 40.0, 25.0, 22.0, 5.0, 2.0, 2.0, 1.0]",54.51,-1.0,-1,161,0,100.0,100.0,1,0,0,0.99,1
125671575913,samsung,galaxy tab a t585,10.1,32,0,"26 Dec, 2022 15:09:54 GMT",1,30,-1,[25.0],25.0,2.0,1200x1920,7000,0,98.8,98.0,1,0,2,25.0,1
385142924535,samsung,galaxy tab a6 t585,10.1,32,4.45,"06 Oct, 2022 19:28:41 BST",0,-1,0,"[87.0, 85.0, 62.0]",87.0,4.0,-1,1,0,0.0,0.0,0,0,1,60.0,1
275510843867,samsung,galaxy tab a6 t585,10.1,32,4.45,"25 Oct, 2022 20:26:01 BST",0,-1,257,"[39.0, 38.0, 37.0, 36.0, 25.0, 17.0, 15.0]",39.0,2.0,1920x1200,72,0,88.9,89.0,1,1,0,15.0,1
374384791330,samsung,galaxy tab t585,10.1,32,5.32,"09 Dec, 2022 15:12:55 GMT",0,-1,1,"[74.0, 72.0]",74.0,2.0,1920x1200,2,0,100.0,100.0,1,0,2,30.0,1
225185037755,samsung,galaxy tab a6 t585,10.1,32,5.55,"07 Oct, 2022 14:50:22 BST",0,-1,31,"[128.0, 126.0, 124.0, 50.01, 43.0, 41.0, 39.0, 37.0, 35.0, 30.0]",128.0,2.0,-1,36,0,100.0,100.0,0,0,0,24.0,1
304746775921,apple,ipad pro 2,11.0,128,11.15,"29 Dec, 2022 20:00:01 GMT",0,-1,60,"[400.0, 400.0, 380.0, 360.0, 350.0, 310.0, 310.0, 255.0, 220.0, 214.99]",400.0,-1.0,-1,16,0,100.0,100.0,1,0,2,210.0,1
185708084016,apple,ipad pro 4,11.0,256,8.95,"29 Dec, 2022 19:30:01 GMT",0,-1,471,"[860.0, 840.0, 800.0, 780.0, 760.0, 700.0, 680.0, 560.0, 550.0, 530.0, 520.0, 510.0]",860.0,0.25,2388x1668,652,0,100.0,100.0,0,0,2,500.0,1
