idx,apple,samsung,amazon,others,screensize,storage,isnight,returnsaccepted,isused,isbroken,deliveryspeed,se_apple,se_samsung,se_amazon,se_others,se_screensize,se_storage,se_isnight,se_returnsaccepted,se_isused,se_isbroken,se_deliveryspeed,r_squared
715,-1.9565609,-1.3012974,-.21671955,-.70641136,.30181521,.00063226064,.068213791,-.18747987,-.56789219,-.69837534,.10375098,.12788998,.11904022,.10180661,.11100473,.0089660594,.000045615772,.022438919,.028865401,.031421389,.04832004,.014450241,.77234864
716,-1.9565609,-1.3012974,-.21671955,-.70641136,.30181521,.00063226064,.068213791,-.18747987,-.56789219,-.69837534,.10375098,.12788998,.11904022,.10180661,.11100473,.0089660594,.000045615772,.022438919,.028865401,.031421389,.04832004,.014450241,.77234864
717,-1.9565609,-1.3012974,-.21671955,-.70641136,.30181521,.00063226064,.068213791,-.18747987,-.56789219,-.69837534,.10375098,.12788998,.11904022,.10180661,.11100473,.0089660594,.000045615772,.022438919,.028865401,.031421389,.04832004,.014450241,.77234864
718,-1.9483125,-1.2994798,-.21020754,-.70083642,.30159533,.00063138228,.065586217,-.18689325,-.56868303,-.69776762,.10162392,.12775382,.11889361,.10167967,.11087961,.0089487908,.000045564448,.022415483,.028833998,.031387635,.048264958,.014436692,.77235228
719,-1.9483125,-1.2994798,-.21020754,-.70083642,.30159533,.00063138228,.065586217,-.18689325,-.56868303,-.69776762,.10162392,.12775382,.11889361,.10167967,.11087961,.0089487908,.000045564448,.022415483,.028833998,.031387635,.048264958,.014436692,.77235228
720,-1.9483125,-1.2994798,-.21020754,-.70083642,.30159533,.00063138228,.065586217,-.18689325,-.56868303,-.69776762,.10162392,.12775382,.11889361,.10167967,.11087961,.0089487908,.000045564448,.022415483,.028833998,.031387635,.048264958,.014436692,.77235228
721,-1.9483125,-1.2994798,-.21020754,-.70083642,.30159533,.00063138228,.065586217,-.18689325,-.56868303,-.69776762,.10162392,.12775382,.11889361,.10167967,.11087961,.0089487908,.000045564448,.022415483,.028833998,.031387635,.048264958,.014436692,.77235228
722,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
723,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
724,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
725,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
726,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
727,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
728,-1.9548306,-1.2995416,-.21737935,-.70519626,.30167246,.00063215633,.069187209,-.18721174,-.56810105,-.69841105,.10405435,.12785038,.11900602,.10174628,.11096834,.0089577204,.000045602665,.022441113,.028858811,.031413984,.048305653,.014440943,.77217638
729,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
730,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
731,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
732,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
733,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
734,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
735,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
736,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
737,-1.9600928,-1.3054111,-.21992911,-.70976299,.30214158,.00063169969,.067352578,-.18632758,-.56743902,-.69297099,.10392654,.12795097,.11912583,.10184297,.11106783,.0089651104,.000045629949,.022449194,.028899997,.03143426,.048702274,.014447984,.77241892
738,-1.9565934,-1.3060597,-.21769367,-.70661801,.30158168,.00063310424,.066278964,-.18640284,-.56245303,-.69913274,.10340881,.12778965,.11896049,.10170764,.11091866,.0089534242,.000045586759,.022425946,.028850159,.031475767,.048287965,.014432026,.77211159
739,-1.9565934,-1.3060597,-.21769367,-.70661801,.30158168,.00063310424,.066278964,-.18640284,-.56245303,-.69913274,.10340881,.12778965,.11896049,.10170764,.11091866,.0089534242,.000045586759,.022425946,.028850159,.031475767,.048287965,.014432026,.77211159
740,-1.9565934,-1.3060597,-.21769367,-.70661801,.30158168,.00063310424,.066278964,-.18640284,-.56245303,-.69913274,.10340881,.12778965,.11896049,.10170764,.11091866,.0089534242,.000045586759,.022425946,.028850159,.031475767,.048287965,.014432026,.77211159
741,-1.9565934,-1.3060597,-.21769367,-.70661801,.30158168,.00063310424,.066278964,-.18640284,-.56245303,-.69913274,.10340881,.12778965,.11896049,.10170764,.11091866,.0089534242,.000045586759,.022425946,.028850159,.031475767,.048287965,.014432026,.77211159
742,-1.9571692,-1.3020885,-.21803632,-.70723242,.30200008,.00063202146,.068512373,-.18737343,-.56821537,-.69837713,.10309079,.12785682,.1190113,.10176563,.11097828,.0089583807,.000045609657,.022432324,.028862445,.031420428,.048312712,.014455427,.77221966
743,-1.9571692,-1.3020885,-.21803632,-.70723242,.30200008,.00063202146,.068512373,-.18737343,-.56821537,-.69837713,.10309079,.12785682,.1190113,.10176563,.11097828,.0089583807,.000045609657,.022432324,.028862445,.031420428,.048312712,.014455427,.77221966
744,-1.9571692,-1.3020885,-.21803632,-.70723242,.30200008,.00063202146,.068512373,-.18737343,-.56821537,-.69837713,.10309079,.12785682,.1190113,.10176563,.11097828,.0089583807,.000045609657,.022432324,.028862445,.031420428,.048312712,.014455427,.77221966
745,-1.9571692,-1.3020885,-.21803632,-.70723242,.30200008,.00063202146,.068512373,-.18737343,-.56821537,-.69837713,.10309079,.12785682,.1190113,.10176563,.11097828,.0089583807,.000045609657,.022432324,.028862445,.031420428,.048312712,.014455427,.77221966
746,-1.9557276,-1.3012165,-.21525274,-.70657545,.30182377,.00063242955,.066726871,-.18823236,-.5668987,-.69882458,.10286317,.12780164,.11895824,.10171959,.11092822,.0089534177,.000045589335,.022423675,.028851386,.031407099,.048291631,.014436736,.77262497
747,-1.9557276,-1.3012165,-.21525274,-.70657545,.30182377,.00063242955,.066726871,-.18823236,-.5668987,-.69882458,.10286317,.12780164,.11895824,.10171959,.11092822,.0089534177,.000045589335,.022423675,.028851386,.031407099,.048291631,.014436736,.77262497
748,-1.9557276,-1.3012165,-.21525274,-.70657545,.30182377,.00063242955,.066726871,-.18823236,-.5668987,-.69882458,.10286317,.12780164,.11895824,.10171959,.11092822,.0089534177,.000045589335,.022423675,.028851386,.031407099,.048291631,.014436736,.77262497
749,-1.9557276,-1.3012165,-.21525274,-.70657545,.30182377,.00063242955,.066726871,-.18823236,-.5668987,-.69882458,.10286317,.12780164,.11895824,.10171959,.11092822,.0089534177,.000045589335,.022423675,.028851386,.031407099,.048291631,.014436736,.77262497
750,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
751,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
752,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
753,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
754,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
755,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
756,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
757,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
758,-1.9564205,-1.3013883,-.21698979,-.70649719,.30183044,.00063209009,.067920387,-.18723249,-.56782752,-.69733506,.10373809,.12795676,.11907975,.10181911,.11104151,.0089668157,.000045634544,.022454949,.028903339,.031435981,.048722871,.014453952,.77241099
759,-1.9567559,-1.3016597,-.21717523,-.70668298,.30201373,.00063188246,.067746177,-.18771443,-.56894463,-.69847715,.10369271,.12783702,.11899174,.10174502,.11095963,.0089572398,.000045603581,.022426523,.028859349,.031438604,.048305064,.014437115,.77234119
760,-1.9567559,-1.3016597,-.21717523,-.70668298,.30201373,.00063188246,.067746177,-.18771443,-.56894463,-.69847715,.10369271,.12783702,.11899174,.10174502,.11095963,.0089572398,.000045603581,.022426523,.028859349,.031438604,.048305064,.014437115,.77234119
761,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
762,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
763,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
764,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
765,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
766,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
767,-1.9541274,-1.2997153,-.21182582,-.70462781,.30166975,.00063241785,.065504096,-.18801397,-.56756496,-.6984396,.10294763,.12781329,.11896815,.10174193,.1109383,.008954321,.000045592333,.022437554,.028852195,.031406619,.048294611,.014436176,.77269292
768,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
769,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
770,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
771,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
772,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
773,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
774,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
775,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
776,-1.9597372,-1.3054652,-.22338593,-.71143359,.30255866,.00063201552,.071297489,-.18685247,-.56939137,-.69727457,.10127291,.12783243,.11899295,.10176758,.11096739,.0089593101,.000045598961,.022457905,.028856743,.031416621,.048304014,.014467254,.77211779
777,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
778,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
779,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
780,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
781,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
782,-1.9568377,-1.3021551,-.21672703,-.70732933,.3018232,.00063233514,.068768501,-.18787411,-.56745547,-.69855082,.10335246,.12787549,.11902887,.10177728,.11099485,.0089588938,.00004561622,.022442322,.028870059,.031426527,.048319764,.014445193,.77235079
783,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
784,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
785,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
